DIRECCIÓN,BARRIO,X,Y,TIPO,DIÁMETRO HIDRANTE,WGS84 Latitud,WGS84 Longitud
CRA 38 # 44-88,"Cabecera del
Llano",1107085,1279163,Tipo Tráfico,4'',,
DG 13 # 60-125 T 2,"Ciudadela Real de
Minas",1105712,1277511,Tipo Tráfico,4'',,
CL 91 # 25-10,Diamante II,1106711,1275789,Tipo Tráfico,4'',,
CL 11 # 23-35,Mutualidad,1105354,1281030,Tipo Tráfico,4'',,
CRA 24 # 11-44,Mutualidad,1105401,1280986,Tipo Tráfico,4'',,
CL 71B # 55-40,Altos del Lago,1108315,1277515,Tipo Milán,3'',,
CRA 33 # 91-52 T 1,San Martin,1107005,1276743,Tipo Tráfico,4'',,
CL 12 # 17A-11,Modelo,1104817,1280840,Tipo Tráfico,4'',,
CRA 32C # 19-32,San Alonso,1106459,1280441,Tipo Tráfico,4'',,
CL 12 # 17,Modelo,1104765,1280842,Tipo Tráfico,4'',,
"VIA PALENQUE C. MADRID KM2
SERVITECA GARCILLANTAS",Río de Oro I,1100869,1277500,Tipo Tráfico,4'',,
"VIA PALENQUE-CAFE
PARQUEADERO KM 2",Río de Oro I,1100659,1277360,Tipo Tráfico,4'',,
CRA 24 # 101-25,Provenza,1106688,1275577,Tipo Milán,3'',,
CRA 29 # 30-25,La Aurora,1106115,1279952,Tipo Tráfico,4'',,
CIRCUN 35 # 92-156 T 3,El Tejar,1107474,1276872,Tipo Tráfico,4'',,
VIA BGA-GIRON KM 6,,1102697,1275235,Tipo Tráfico,4'',,
CL 9 # 32C-14,Universidad,1106268,1281442,Tipo Milán,3'',,
CL 43#14-51,Centro,1105112,1278633,Tipo Tráfico,4'',,
CL 37 #4A,Alfonso López,1104209,1278621,Tipo Tráfico,4'',,
CL 12 # 27-68,Universidad,1105822,1281008,Tipo Tráfico,4'',,
CL 106 # 22-43,Provenza,1106336,1275313,Tipo Tráfico,4'',,
CL 37 # 23-77,Bólivar,1105900,1279170,Tipo Tráfico,4'',,
CL 12NA # 1A OCC - 06,"Villas de San
Ignacio",1102979,1282719,Tipo Tráfico,4'',,
CRA 10#31,Garcia Rovira,1104457,1279282,Tipo Milán,3'',,
CRA 27 # 17-54,San Francisco,1105776,1280542,Tipo Tráfico,4'',,
CIRCUN 35 # 92-135,El Tejar,1107511,1276989,Tipo Milán,3'',,
CL 34N # 8B-05,Café Madrid,1103461,1283778,Tipo Tráfico,4'',,
CL 35 # 27-86,Mejoras Públicas,1106216,1279488,Tipo Milán,3'',,
CRA 27 # 12-07,Universidad,1105750,1280996,Tipo Tráfico,4'',,
CL 11 # 24-70,Mutualidad,1105473,1281042,Tipo Tráfico,4'',,
CL 11 # 23-04,Mutualidad,1105309,1281009,Tipo Tráfico,4'',,
CRA 27 # 21-70,San Francisco,1105842,1280096,Tipo Tráfico,4'',,
CL 16 # 27-10,San Alonso,1105789,1280623,Tipo Tráfico,4'',,
CRA 27 #17-75,San Alonso,1105806,1280477,Tipo Tráfico,4'',,
CRA 27 # 15-09,San Francisco,1105777,1280665,Tipo Tráfico,4'',,
CL 20 # 26-32,San Francisco,1105790,1280262,Tipo Tráfico,4'',,
CRA 24 # 51-48,Nuevo Sotomayor,1106251,1278451,Tipo Tráfico,4'',,
"VIA GIRON KM 4 ENRADAT
LADRILLERA .BGA","Quebrada La
iglesia I",1104039,1275513,Tipo Tráfico,4'',,
CRA 1W # 53-20 BALCONCITOS,Balconcitos,1104585,1277463,Tipo Milán,3'',,
CRA 56 # 74-191,Altos del Lago,1108332,1276982,Tipo Tráfico,4'',,
CRA 38 # 51-136,"Cabecera del
Llano",1107193,1278541,Tipo Tráfico,4'',,
CRA 38 # 52-87,"Cabecera del
Llano",1107228,1278410,Tipo Tráfico,4'',,
CL 55A # 27-05,Bolarqui,1106417,1278050,Tipo Tráfico,4'',,
CL 54 # 23-22,Bolarqui,1106293,1278197,Tipo Tráfico,4'',,
CL 34 # 23-41,"Antonia Santos
centro",1105763,1279411,Tipo Tráfico,6'',,
CRA 25 # 24-37,Alarcón,1105727,1279945,Tipo Milán,3'',,
CL 73 # 41W-97,"Quebrada La
iglesia I",1103496,1275187,Tipo Tráfico,4'',,
CL 105 # 26A-93,Provenza,1107003,1275741,Tipo Tráfico,4'',,
CL 38 # 34-18,El Prado,1106751,1279508,Tipo Tráfico,4'',,
CRA 24 # 16-35,San Francisco,1105498,1280549,Tipo Milán,3'',,
CRA 26 # 24-23,Alarcón,1105794,1280030,Tipo Tráfico,4'',,
"CRA 10-BETANIA SECTOR B-CASA
60","Villas de San
Ignacio",1103479,1283120,Tipo Tráfico,4'',,
CRA 38 # 42-12,"Cabecera del
Llano",1107058,1279381,Tipo Tráfico,4'',,
CL 65 # 44-12,La Floresta,1107210,1277639,Tipo Tráfico,4'',,
CRA 27 # 18-04/10,San Francisco,1105782,1280463,Tipo Tráfico,4'',,
CRA 27 # 32-04,"Antonia Santos
centro",1105998,1279715,Tipo Tráfico,4'',,
CL 33 # 26-39,"Antonia Santos
centro",1105969,1279618,Tipo Tráfico,4'',,
CL 34A # 44-05,"Alvarez las
Américas",1107175,1279921,Tipo Milán,3'',,
CRA 27 # 45-100,Nuevo Sotomayor,1106285,1278857,Tipo Tráfico,4'',,
AV 38 # 51-89 T 1,"Cabecera del
Llano",1107212,1278626,Tipo Tráfico,4'',,
CL 50 # 23-112,Nuevo Sotomayor,1106225,1278613,Tipo Milán,3'',,
CRA 50 # 54-115,Pan de Azucar,1107701,1278234,Tipo Milán,3'',,
CL 46 # 35A-44,"Cabecera del
Llano",1106976,1279026,Tipo Milán,3'',,
CRA 55 # 72-02 *,Lagos del Cacique,1108216,1277346,Tipo Tráfico,4'',,
CRA 29 # 42-12,Sotomayor,1106541,1279216,Tipo Tráfico,4'',,
CL 38 # 32-10,Mejoras Públicas,1106567,1279472,Tipo Tráfico,4'',,
CRA 21 # 19-45,San Francisco,1105276,1280203,Tipo Tráfico,4'',,
CRA 25 # 35-21,"Antonia Santos
centro",1105949,1279361,Tipo Tráfico,4'',,
"AV QUEBRADA SECA # 33A-100
NIVEL 0",Galán,1106591,1280410,Tipo Tráfico,4'',,
CIRCUN 35 # 72-98,El Tejar,1107441,1277046,Tipo Tráfico,4'',,
CRA 23 # 37-47,Bólivar,1105843,1279102,Tipo Tráfico,4'',,
CRA 17C # 55-22,La Concordia,1105991,1277954,Tipo Tráfico,4'',,
CRA 28 # 48-70,Sotomayor,1106496,1278731,Tipo Tráfico,4'',,
CRA 39 # 44-70,"Cabecera del
Llano",1107180,1279224,Tipo Tráfico,4'',,
CRA 37 # 52-43 OF 401,"Cabecera del
Llano",1107158,1278465,Tipo Tráfico,4'',,
CIRCUN 35 # 92-136,El Tejar,1107488,1276996,Tipo Tráfico,4'',,
CL 50 # 22-87,La Concordia,1106106,1278549,Tipo Tráfico,4'',,
CRA 35 # 9-55,Los Pinos,1106807,1281050,Tipo Tráfico,4'',,
CL 19 # 23-07,San Francisco,1105448,1280305,Tipo Tráfico,4'',,
CL 21 # 25-27 T 1,San Francisco,1105708,1280157,Tipo Tráfico,4'',,
CL 20 # 49-48,San Alonso,1106052,1280315,Tipo Tráfico,4'',,
CRA 30 # 35-10,Mejoras Públicas,1106402,1279595,Tipo Tráfico,4'',,
"VIA BGA-GIRON CL 58 # 4- 71
TRANSITO DE GIRON","Quebrada La
iglesia I",1103767,1275507,Tipo Tráfico,4'',,
CRA 26 # 45-39,Nuevo Sotomayor,1106221,1278900,Tipo Tráfico,4'',,
CRA 34 # 36-31,El Prado,1106713,1279625,Tipo Tráfico,4'',,
CRA 38 # 48-122,"Cabecera del
Llano",1107084,1278797,Tipo Tráfico,4'',,
CRA 29 # 55B-07,Bolarqui,1106631,1278061,Tipo Tráfico,4'',,
CL 100 # 23-27 OF 1,Provenza,1106521,1275668,Tipo Tráfico,4'',,
CRA 25 # 19-19,San Francisco,1105644,1280296,Tipo Tráfico,4'',,
CRA 21A # 109-60,"Granjas de
Provenza",1106143,1275080,Tipo Milán,3'',,
CL 22 # 23-72,Alarcón,1105587,1280024,Tipo Tráfico,4'',,
CL 8 # 29-157 INT 2 PUERTO RICO,San Alonso,1106199,1281281,Tipo Tráfico,4'',,
CL 18 # 26-23,San Francisco,1105736,1280454,Tipo Tráfico,4'',,
CRA 34 # 34-17,El Prado,1106684,1279795,Tipo Tráfico,4'',,
CRA 34 # 34-41,El Prado,1106687,1279771,Tipo Tráfico,4'',,
CL 10 # 34-15 T 1,Los Pinos,1106765,1281052,Tipo Tráfico,4'',,
CRA 17F # 58A-53,Ricaurte,1106197,1277767,Tipo Tráfico,4'',,
CL 51 # 27A-33 OF,Sotomayor,1106386,1278596,Tipo Tráfico,4'',,
CL 8 # 22-04,Comuneros,1105175,1281264,Tipo Tráfico,4'',,
CL 65 # 30W-03,Monterredondo,1103917,1275947,Tipo Milán,3'',,
CL 17 # 24-56,San Francisco,1105555,1280507,Tipo Tráfico,4'',,
CL 37 # 24-82,Bólivar,1106017,1279201,Tipo Tráfico,4'',,
CL 37 # 24-75,Bólivar,1105988,1279200,Tipo Tráfico,4'',,
CRA 26 # 20-05,San Francisco,1105750,1280249,Tipo Tráfico,4'',,
CL 34 # 27-47/55,Mejoras Públicas,1106158,1279563,Tipo Tráfico,4'',,
CRA 18 # 87-35,San Luis,1106037,1276203,Tipo Tráfico,4'',,
CL 35 # 23-01,"Antonia Santos
centro",1105748,1279337,Tipo Tráfico,4'',,
CRA 36 # 38-24,El Prado,1106895,1279507,Tipo Tráfico,4'',,
CL 67 # 20-29,La Victoria,1106289,1277072,Tipo Tráfico,4'',,
CL 69 # 16-29,La Victoria,1106284,1276738,Tipo Piso,2'',,
CRA 39 # 48-05,"Cabecera del
Llano",1107196,1278856,Tipo Tráfico,4'',,
CL 69 # 12-29,La Victoria,1106097,1276647,Tipo Piso,2'',,
CRA 22#21-21,San Francisco,1105347,1279988,Tipo Tráfico,4'',,
CRA 10B # 68A-30,África,1105843,1276470,Tipo Milán,3'',,
CRA 11 # 68-10,Pablo VI,1105957,1276651,Tipo Milán,3'',,
CRA 25 # 65-19 T A,La Victoria,1106417,1277385,Tipo Milán,3'',,
CRA 2W # 55-05,Mutis,1104557,1277246,Tipo Milán,3'',,
CRA 24W # 59-02,Manzanares,1103673,1276501,Tipo Milán,3'',,
CL 60 # 37W-75,Estoraques,1103365,1276209,Tipo Milán,3'',,
CRA 19 # 9-85,Comuneros,1104919,1281033,Tipo Tráfico,4'',,
CRA 20 # 12,Mutualidad,1105052,1280831,Tipo Milán,3'',,
CL 62 # 3W-61,Mutis,1104598,1276817,Tipo Milán,3'',,
CRA 35W # 64-25,Monterredondo,1103769,1275985,Tipo Milán,3'',,
CL 64 # 2AW-74,Mutis,1104824,1276748,Tipo Milán,3'',,
CRA 3W # 64-08,Los Heroes,1104803,1276710,Tipo Milán,3'',,
CL 65 # 6W-257,Monterredondo,1104485,1276419,Tipo Tráfico,4'',,
CRA 8W # 62-48,Prados Mutis,1104516,1276693,Tipo Milán,3'',,
CRA 43W # 58-03,Estoraques,1103146,1276090,Tipo Milán,3'',,
CRA 14W # 66-15,La Gran Ladera,1104358,1276130,Tipo Milán,3'',,
CL 55A # 2-04,"Ciudadela Real de
Minas",1104851,1277247,Tipo Tráfico,4'',,
CL 58 # 7W-114,Mutis,1104346,1276860,Tipo Milán,3'',,
CRA 23W # 66-18,La Gran Ladera,1104233,1275987,Tipo Milán,3'',,
CL 21 # 23-44,San Francisco,1105537,1280115,Tipo Tráfico,4'',,
CL 19 # 27-34,San Alonso,1105853,1280382,Tipo Tráfico,4'',,
CRA 33 # 54-46,Campestre,1106876,1278136,Tipo Milán,3'',,
"CRA 33 # 51A-08 (BANCO CAJA
SOCIAL)",Campestre,1106800,1278502,Tipo Piso,2'',,
CL 11 # 23-64,Mutualidad,1105377,1281034,Tipo Tráfico,4'',,
CL 45 # 29-60,Sotomayor,1106712,1279065,Tipo Milán,3'',,
CRA 25 # 21-78  CASA 1,Alarcón,1105680,1280041,Tipo Tráfico,4'',,
CL 20NB # 1-12 ET 7,"Villas de San
Ignacio",1103187,1282883,Tipo Tráfico,4'',,
CL 35 # 22-32,"Antonia Santos
centro",1105700,1279291,Tipo Tráfico,4'',,
CRA 29 # 31-14,La Aurora,1106148,1279876,Tipo Tráfico,4'',,
CL 52A # 31-79,Campestre,1106737,1278370,Tipo Tráfico,4'',,
CL 11 # 23-11,Mutualidad,1105304,1281025,Tipo Tráfico,4'',,
CL 109 # 22A-74,Provenza,1106424,1275121,Tipo Tráfico,4'',,
AV GONZALEZ VALENCIA # 50-47,Nuevo Sotomayor,1106262,1278597,Tipo Tráfico,6'',,
CL 34 # 26-59,"Antonia Santos
centro",1106052,1279523,Tipo Tráfico,4'',,
CL 18 # 23-60,San Francisco,1105498,1280395,Tipo Tráfico,4'',,
CL 34 # 28-51,Mejoras Públicas,1106250,1279628,Tipo Milán,3'',,
CRA 21 # 11-71,Mutualidad,1105134,1280912,Tipo Tráfico,4'',,
CRA 8#58,"Zona Industrial Autopista a Bucaramanga lado
sur",1102047,1275213,Tipo Milán,3'',,
CL 20 # 31-70,San Alonso,1106229,1280352,Tipo Tráfico,4'',,
CL 63 # 18-15,La Ceiba,1106454,1277552,Tipo Tráfico,4'',,
CRA 24 # 30-11,"Antonia Santos
centro",1105654,1279790,Tipo Tráfico,4'',,
CL 11 # 28-53,Universidad,1105896,1281104,Tipo Tráfico,4'',,
CL 20 # 24-76,San Francisco,1105640,1280232,Tipo Tráfico,4'',,
CL 42#19-09,Centro,1105584,1278790,Tipo Tráfico,4'',,
CRA 41 # 42-65,"Cabecera del
Llano",1107332,1279387,Tipo Tráfico,4'',,
AV 42 # 48-12,"Cabecera del
Llano",1107374,1278886,Tipo Tráfico,4'',,
CRA 22B # 113-10,Provenza,1106428,1274891,Tipo Tráfico,4'',,
CL 18 # 31-53,San Alonso,1106197,1280549,Tipo Tráfico,4'',,
CL 21 # 17,San Francisco,1104951,1280009,Tipo Milán,4'',,
CL 35 # 25-74,"Antonia Santos
centro",1106012,1279404,Tipo Tráfico,4'',,
CRA 15#29,Granada,1104820,1279527,Tipo Tráfico,4'',,
CRA 15 QUEBRADA SECA,Granada,1104868,1279549,Tipo Tráfico,4'',,
CRA 32A # 19-30,San Alonso,1106343,1280431,Tipo Tráfico,4'',,
CRA 15#3N - 37,Norte Bajo,1104020,1281890,Tipo Milán,3'',,
CRA 24 #33,Centro,1105497,1279425,Tipo Milán,3'',,
CRA 20#37 ESQUINA,Centro,1105546,1279033,Tipo Milán,3'',,
CRA 19#28-60,Granada,1105220,1279660,Tipo Tráfico,4'',,
CRA 20 # BULEVAR BOLIVAR,San Francisco,1105119,1280496,Tipo Tráfico,4'',,
CRA 9 # 8A-74,Alfonso López,1104570,1278686,Tipo Tráfico,4'',,
CL 45#7,"Chorreras de Don
Juan",1104537,1278242,Tipo Milán,3'',,
CL  41 #12 ESQUINA,Garcia Rovira,1104828,1278754,Tipo Milán,4'',,
CL 42#17-28,Centro,1105446,1278757,Tipo Tráfico,4'',,
CL 51N # 26-20,Colorados,1104378,1285638,Tipo Milán,3'',,
"CRA 10-BETANIA SECTOR F-
PEATONAL 2 CASA 1","Villas de San
Ignacio",1103293,1282647,Tipo Tráfico,4'',,
CL 34#18-01,Centro,1105289,1279242,Tipo Tráfico,4'',,
AV GUAYACANES CRA 1 BL 18,"Ciudadela Real de
Minas",1105135,1276590,Tipo Tráfico,4'',,
CL 41 # 27-87,Mejoras Públicas,1106336,1279161,Tipo Tráfico,4'',,
CRA 27A # 40-60,Mejoras Públicas,1106321,1279189,Tipo Tráfico,4'',,
CL 41#19-61,Centro,1105597,1278869,Tipo Tráfico,4'',,
CRA 15 # 104D-49,Delicias,1105501,1275176,Tipo Tráfico,4'',,
CRA 23 # 30-55,"Antonia Santos
centro",1105585,1279719,Tipo Tráfico,6'',,
CRA 23 # 30-62,"Antonia Santos
centro",1105589,1279692,Tipo Tráfico,6'',,
CRA 38 # 46-30,"Cabecera del
Llano",1107072,1279010,Tipo Tráfico,4'',,
CRA 38 # 48-76,"Cabecera del
Llano",1107072,1278819,Tipo Tráfico,6'',,
CRA 18A # 113-21,"Viveros de
Provenza",1105965,1274863,Tipo Tráfico,4'',,
CL 105 # 17-04,Provenza,1105860,1275217,Tipo Tráfico,4'',,
CRA 36 # 36-28,El Prado,1106864,1279657,Tipo Tráfico,4'',,
CL 51 # 23-119,Nuevo Sotomayor,1106248,1278527,Tipo Tráfico,4'',,
"KM 6.5 VÍA PALEQUE CAFE
MADRID, HARINAGRO",Río de Oro I,1102229,1281151,Tipo Tráfico,4'',,
CRA 38A # 46-04,"Cabecera del
Llano",1107114,1279035,Tipo Tráfico,4'',,
CL 42#12-42,Garcia Rovira,1104907,1278670,Tipo Tráfico,4'',,
CL 47N # 22-41,,1104659,1285301,Tipo Tráfico,4'',,
AV EL TEJAR # 104-25 CASA 11H,Fatima,1107919,1276563,Tipo Milán,3'',,
CRA 18#31,Centro,1105201,1279458,Tipo Tráfico,4'',,
CRA 53 # 72-82 CASA 8,Lagos del Cacique,1108081,1277285,Tipo Tráfico,4'',,
VIA BGA-GIRON KM 6 BODEGA 1,"Quebrada La
iglesia I",1102791,1275248,Tipo Tráfico,4'',,
CRA 20 # 111-32,"Granjas de
Provenza",1106057,1275025,Tipo Tráfico,6'',,
TRANS 112A # 19-48,"Granjas de
Provenza",1106016,1274930,Tipo Tráfico,6'',,
CRA 25 # 35-16 T 2,"Antonia Santos
centro",1105935,1279368,Tipo Tráfico,4'',,
CRA 24 # 6-60,Comuneros,1105316,1281420,Tipo Tráfico,4'',,
CL 109 # 20-23,"Granjas de
Provenza",1106069,1275111,Tipo Tráfico,4'',,
CL 62 # 2AW-40,Mutis,1104771,1276841,Tipo Milán,3'',,
CL 39 # 24-80,Bólivar,1106044,1279147,Tipo Tráfico,4'',,
CL 15#14-48,Gaitán,1104577,1280540,Tipo Tráfico,4'',,
CRA 14 # 55-29,Gomez Niño,1105571,1277814,Tipo Tráfico,4'',,
CL 73 # 42W-19,"Quebrada La
iglesia I",1102458,1274900,Tipo Tráfico,4'',,
CRA 27A # 48-62 T A,Sotomayor,1106399,1278751,Tipo Tráfico,4'',,
CL 73 # 41W-12,"Quebrada La
iglesia I",1102783,1274872,Tipo Tráfico,4'',,
CL 73 # 41W-261,"Quebrada La
iglesia I",1103025,1274981,Tipo Tráfico,4'',,
CRA 27A # 48-16,Sotomayor,1106412,1278799,Tipo Tráfico,4'',,
CL 60 # 8W-160 MZ B CASA 028,Brisas del Mutis,1104264,1276639,Tipo Tráfico,4'',,
CL 60 # 8W-160 MZ C CASA 051,Brisas del Mutis,1104237,1276598,Tipo Milán,3'',,
CL 17 # 32A-20,San Alonso,1106331,1280658,Tipo Tráfico,4'',,
CRA 23 # 31-106,"Antonia Santos
centro",1105652,1279544,Tipo Tráfico,4'',,
CL 58 DIAGONAL.# 15-36 T 3,Ricaurte,1106362,1277807,Tipo Tráfico,4'',,
CL 58 DIAGONAL. # 15-36,Ricaurte,1106277,1277864,Tipo Tráfico,4'',,
CRA 26 # 45-67,Nuevo Sotomayor,1106225,1278862,Tipo Tráfico,4'',,
CRA 24 # 19-26,San Francisco,1105539,1280280,Tipo Tráfico,4'',,
CL 112 # 22-122,Provenza,1106424,1274947,Tipo Tráfico,4'',,
CL 15 # 24-41,San Francisco,1105517,1280704,Tipo Tráfico,4'',,
CRA 35A # 48-52,"Cabecera del
Llano",1106970,1278804,Tipo Tráfico,4'',,
CL 28 # 22-40,Alarcón,1105495,1279852,Tipo Tráfico,4'',,
CRA 47 # 33A-47,"Alvarez las
Américas",1107239,1280106,Tipo Tráfico,4'',,
CRA 30 # 16-41,San Alonso,1106032,1280649,Tipo Tráfico,4'',,
CRA 26A # 51-37,Nuevo Sotomayor,1106245,1278638,Tipo Tráfico,4'',,
CL 17 # 29-49,San Alonso,1106012,1280607,Tipo Tráfico,4'',,
CIRCUN 35 # 92-170 T 5,El Tejar,1107469,1276846,Tipo Tráfico,4'',,
CL 39 # 24-43,Bólivar,1105993,1279125,Tipo Tráfico,4'',,
CL 103 # 22A-68/ 72,Provenza,1106428,1275500,Tipo Tráfico,4'',,
CL 44 # 28-14,Sotomayor,1106484,1279116,Tipo Tráfico,4'',,
CL 55 # 28-25,Bolarqui,1106502,1278211,Tipo Tráfico,4'',,
CRA 13 # 96-30,Conquistadores,1105068,1275750,Tipo Tráfico,4'',,
CRA 13 # 96-18,Conquistadores,1105105,1275840,Tipo Tráfico,4'',,
CL 24N # 18-66 P 1,San Valentín,1104351,1283285,Tipo Tráfico,4'',,
CL 22N # 18-63,San Valentín,1104433,1283227,Tipo Tráfico,4'',,
CL 13 # 23-37,Mutualidad,1105382,1280816,Tipo Tráfico,4'',,
CL 32 # 47-02,"Alvarez las
Américas",1107167,1280244,Tipo Milán,3'',,
CRA 14#22,Granada,1104677,1279828,Tipo Tráfico,4'',,
CL 19 # 29-60,San Alonso,1106043,1280410,Tipo Tráfico,4'',,
CL 19 # 29-30,San Alonso,1106024,1280406,Tipo Tráfico,4'',,
CL 30 NORTE # 9B-10 T 14,"Villas de San
Ignacio",1103358,1283194,Tipo Tráfico,4'',,
CL 30 NORTE # 9B-58 T 3,"Villas de San
Ignacio",1103431,1283105,Tipo Tráfico,4'',,
CL 48 # 39-41,"Cabecera del
Llano",1107239,1278892,Tipo Tráfico,4'',,
CRA 40 # 46-92 BL B,"Cabecera del
Llano",1107298,1278937,Tipo Tráfico,4'',,
CRA 11#34 ESQUINA,Garcia Rovira,1104665,1278991,Tipo Tráfico,4'',,
CL 14#10-45,Garcia Rovira,1104611,1278991,Tipo Tráfico,4'',,
CRA 38 # 42-64 OF,"Cabecera del
Llano",1107056,1279317,Tipo Tráfico,4'',,
CRA 47 # 65-12,La Floresta,1107386,1277670,Tipo Milán,3'',,
CRA 45 # 62-22,La Floresta,1107296,1277853,Tipo Tráfico,4'',,
CL 31 # 23-28,"Antonia Santos
centro",1105648,1279659,Tipo Tráfico,4'',,
CRA 29 # 16-09,San Alonso,1105946,1280674,Tipo Tráfico,4'',,
CRA 22#30-69,"Antonia Santos
centro",1105534,1279648,Tipo Tráfico,4'',,
CL 12 # 25-56,Universidad,1105563,1280963,Tipo Tráfico,4'',,
CL 22 # 22-30,Alarcón,1105457,1279998,Tipo Tráfico,4'',,
CL 29#5,Girardot,1104094,1279239,Tipo Tráfico,6'',,
CRA 2 OCC#31,23 de Junio,1103896,1278956,Tipo Milán,3'',,
CRA 3 CL # 64A MZ C CASA 78,"Ciudadela Real de
Minas",1105256,1276762,Tipo Tráfico,4'',,
CRA 8 # 69-26,Bucaramanga,1105099,1276160,Tipo Piso,2'',,
CL 41 # 31-120,Mejoras Públicas,1106573,1279400,Tipo Tráfico,6'',,
CL 41 # 31-69,Mejoras Públicas,1106536,1279349,Tipo Tráfico,4'',,
CRA 48 # 30-67,"Alvarez las
Américas",1107222,1280175,Tipo Tráfico,4'',,
CL 34 # 22-35,"Antonia Santos
centro",1105667,1279381,Tipo Tráfico,4'',,
CRA 22#34-38 TORRE VALLARTA,"Antonia Santos
centro",1105649,1279322,Tipo Tráfico,6'',,
CL 9 # 22-29,Comuneros,1105192,1281180,Tipo Tráfico,4'',,
CL 14 # 26-64,San Francisco,1105708,1280814,Tipo Tráfico,4'',,
CRA 24 # 31-40,"Antonia Santos
centro",1105711,1279640,Tipo Tráfico,4'',,
CL 21 # 29-13,San Alonso,1106040,1280225,Tipo Milán,3'',,
CRA 36 # 37-30,El Prado,1106881,1279582,Tipo Tráfico,4'',,
CL 34 # 32-34 HOTEL BUENAVISTA,Mejoras Públicas,1106510,1279753,Tipo Tráfico,4'',,
CRA 49 # 54-210,Pan de Azucar,1107621,1278130,Tipo Tráfico,4'',,
CRA 23 # 20-33,San Francisco,1105476,1280167,Tipo Tráfico,4'',,
CL 11 # 26-05,Universidad,1105573,1281079,Tipo Tráfico,4'',,
CRA 25 # 10-12,Universidad,1105481,1281119,Tipo Tráfico,4'',,
CL 42#16-126,Centro,1105398,1278740,Tipo Tráfico,4'',,
CL 110 # 21-17,"Granjas de
Provenza",1106111,1275068,Tipo Tráfico,4'',,
CRA 21 # 20,San Francisco,1105285,1280153,Tipo Tráfico,4'',,
CL 9#16-29,Comuneros,1104664,1281077,Tipo Tráfico,4'',,
CL 38 # 34-61,El Prado,1106796,1279527,Tipo Tráfico,4'',,
CRA 28 # 50-53,Sotomayor,1106451,1278584,Tipo Tráfico,4'',,
CL 52 #17-06,La Concordia,1105727,1278109,Tipo Tráfico,4'',,
CRA 25 # 14-61,San Francisco,1105556,1280743,Tipo Tráfico,4'',,
CRA 30 # 34-39,Mejoras Públicas,1106397,1279638,Tipo Tráfico,4'',,
CL 65 # 12W-30,La Gran Ladera,1104341,1276196,Tipo Tráfico,4'',,
CRA 26 # 34-29 GARAJE,"Antonia Santos
centro",1105991,1279453,Tipo Tráfico,4'',,
CRA 16 # 16-31,San Francisco,1104757,1280409,Tipo Tráfico,4'',,
CL DE LOS ESTUDIANTES # 9-82,"Ciudadela Real de
Minas",1105322,1277540,Tipo Tráfico,4'',,
CRA 39A # 44-72,"Cabecera del
Llano",1107230,1279214,Tipo Milán,3'',,
CRA 39A # 44-72,"Cabecera del
Llano",1107227,1279217,Tipo Tráfico,4'',,
CL 35 #6-77,Alfonso López,1104338,1278802,Tipo Milán,3'',,
AV LOS BUCAROS ESTE # 60-13,"Ciudadela Real de
Minas",1105464,1277369,Tipo Milán,3'',,
CL 14A # 32B-68,San Alonso,1106441,1280742,Tipo Milán,3'',,
CL 31 # 31-40,La Aurora,1106328,1280010,Tipo Tráfico,4'',,
CL 15 # 26-83,San Francisco,1105744,1280734,Tipo Milán,3'',,
ESA CHIMITÁ,Río de Oro II,1100657,1276767,Tipo Milán,2'',,
CAFE MADRID HUEVOS KIKES,"No aplica -
Bucaramanga",1101897,1280459,Tipo Tráfico,4'',,
CRA 38 # 35-20,El Prado,1106989,1279740,Tipo Tráfico,4'',,
CRA 20 # 50-77,La Concordia,1105921,1278346,Tipo Milán,3'',,
CL 50 # 25-15,Nuevo Sotomayor,1106138,1278809,Tipo Milán,3'',,
CRA 51 # 50-15,Pan de Azucar,1107713,1278950,Tipo Milán,3'',,
CL 24# 20,Alarcón,1105284,1279857,Tipo Tráfico,4'',,
CRA 32 ESQ NORTE C.A.I. CL 48,Sotomayor,1106663,1278821,Tipo Tráfico,4'',,
CL 41 # 37-04,"Cabecera del
Llano",1106984,1279475,Tipo Tráfico,4'',,
CL 48 # 28-74,Sotomayor,1106597,1278803,Tipo Tráfico,4'',,
CRA 27 # 37-33 OF 715,Mejoras Públicas,1106260,1279235,Tipo Tráfico,4'',,
CRA 26 # 41-46,Bólivar,1106201,1278963,Tipo Tráfico,4'',,
CL 59 # 17F-39 ACCESO HOTEL,Ricaurte,1106211,1277804,Tipo Tráfico,4'',,
"CL 34 # 26-03 CENT MED
ODONTOLOG","Antonia Santos
centro",1105971,1279497,Tipo Tráfico,4'',,
CRA 24 # 30-65,"Antonia Santos
centro",1105688,1279735,Tipo Tráfico,4'',,
CRA 29 #5 SANFER,"Zona Industrial Autopista a Bucaramanga lado
sur",1102107,1275210,Tipo Milán,3'',,
CRA 8 # 61-137,"Ciudadela Real de
Minas",1105447,1277180,Tipo Milán,3'',,
CRA 17#5-02,Comuneros,1104632,1281442,Tipo Tráfico,4'',,
CRA 16 # 11,Modelo,1104659,1280874,Tipo Tráfico,4'',,
CL 12 # 18,Modelo,1104863,1280838,Tipo Tráfico,4'',,
CRA 2 # 45-44,Sotomayor,1106632,1278993,Tipo Tráfico,4'',,
CRA 47 # 33A-94,"Alvarez las
Américas",1107260,1280048,Tipo Milán,3'',,
